symptom,constitution,cause,acupoint1_name,acupoint1_code,acupoint1_position,acupoint1_method,acupoint1_image,acupoint2_name,acupoint2_code,acupoint2_position,acupoint2_method,acupoint2_image,herb_name,herb_efficacy,herb_processing,tea_recipe
소화불량,태음인,"간대폐소(肝大肺小)의 체질로, 간에 열이 차거나 몸의 기혈 소통이 정체되면서 위장 운동이 둔화되어 발생합니다. 가슴 답답함이나 팽만감을 동반하는 경우가 많습니다.",태충 (太衝),LR3,첫째와 둘째 발가락뼈가 만나는 곳에서 약간 위쪽의 오목하고 맥박이 느껴지는 부위,과열되기 쉬운 간의 열을 내리고 혈압을 안정시킵니다. 다소 강한 압박감(뻐근함)이 느껴질 정도로 5초간 꾹 눌러줍니다.,LR3.png,행간 (行間),LR2,첫째와 둘째 발가락 사이의 갈라진 경계선 부위,간 수열(간의 열 독소)을 맑게 식히고 두통과 충혈을 완화해 줍니다. 손끝이나 지압봉으로 강하게 지압합니다.,LR2.png,"의이인 (薏苡仁, 율무)",비위의 습한 노폐물을 배출하고 위장 소화 기능을 고르게 돕습니다.,"껍질을 벗긴 율무를 흐르는 물에 깨끗이 씻어 말린 뒤, 팬에 약한 불로 노릇노릇해질 때까지 볶아서(초법) 사용하면 차가운 성질이 완화됩니다.",볶은 율무 20g에 물 1L를 붓고 끓여 물 대신 차처럼 은근히 나누어 마십니다.
소화불량,소음인,"신대비소(腎大脾小)의 체질로, 본래 위장 기운이 가장 약해 속이 차가워질 때 위장 평활근이 수축하고 운동을 멈추며 급체나 만성 소화불량이 쉽게 생깁니다.",합곡 (合谷),LI4,엄지와 검지 손가락 뼈가 만나는 부위의 바로 앞 오목한 곳,급체하거나 머리가 아플 때 막힌 기를 강력하게 뚫어줍니다. 찌릿한 느낌이 손끝까지 가도록 강하게 5초씩 지압합니다.,LI4.png,삼음교 (三陰交),SP6,안쪽 복사뼈 중심에서 위로 3치(본인의 손가락 네 마디 너비) 올라간 정강이뼈 뒤쪽 가장자리,전신의 혈액 순환을 돕고 비위 기능을 따뜻하게 보강합니다. 부드럽게 원을 그리며 따뜻한 온기가 돌 때까지 마사지합니다.,SP6.png,인삼 (人參),소음인의 비위 기운을 직접적으로 크게 보강하고 뱃속을 따뜻하게 하여 소화력을 극대화합니다.,수삼의 뇌두(머리 부분)를 완전히 제거하고 얇게 썰어 말린 후 사용합니다. 약성을 순하게 하기 위해 꿀에 재웠다가 사용해도 좋습니다.,손질한 인삼 6g과 대추 2알에 물 800ml를 넣고 끓여 따뜻하게 수시로 복용합니다.
소화불량,소양인,"비대신소(脾大腎小)의 체질로, 위장에 과도한 열(火)이 쌓여 소화기가 건조해지고 팽창하며 막히는 현상이 생깁니다. 체하면 속이 불전처럼 답답하고 뜨거워지는 특징이 있습니다.",족삼리 (足三里),ST36,"독비혈(무릎 바깥쪽 오목한 곳)에서 아래로 3치 내려간 곳, 정강이뼈 가쪽 한 손가락 너비",위장의 과도한 열을 내리고 소화기 기운을 아래로 끌어내려 편안하게 뚫어줍니다. 묵직하고 뻐근한 자극을 줍니다.,ST36.png,내관 (內關),PC6,손목 안쪽 주름의 정중앙에서 팔 쪽으로 약 2치(손가락 세 마디 너비) 올라간 두 힘줄 사이,스트레스로 인해 가슴과 위장에 기가 뭉친 것을 풀어주며 위장 운동을 조율합니다. 가볍게 원을 그리며 3분간 지압합니다.,PC6.png,산수유 (山茱萸),위열로 소모된 신장과 비위의 음액을 보충하여 소화기의 부드러운 움직임을 돕습니다.,산수유 열매에서 씨앗을 반드시 제거(去核)해야 합니다. 씨앗은 정력을 상하게 하므로 과육만 부드럽게 발라내어 건조해 씁니다.,씨를 뺀 산수유 10g을 물 1L에 달여 식후에 마시면 위장의 건조함을 예방해 줍니다.
소화불량,태양인,"폐대간소(肺大肝小)의 체질로, 기운이 비정상적으로 자꾸 위로만 치솟아 음식을 삼키지 못하고 거꾸로 토해내는 열격/반위증(噎膈反胃症) 소화 장애가 나타납니다.",합곡 (合谷),LI4,엄지와 검지 사이의 호구 부위 오목한 곳,치솟아 오르는 기운을 사방에서 붙잡아 아래로 가라앉히고 막힌 통로를 소통시킵니다. 찌릿하도록 강하게 압박합니다.,LI4.png,소상 (少商),LU11,엄지손가락 손톱 안쪽 모서리 가쪽으로 1mm 지점,식도가 조이거나 솟구치는 급성 체기 시 손톱 끝이나 소독된 침으로 강하게 지압/사혈하여 압력을 급격히 떨어뜨립니다.,LU11.png,모과 (木瓜),거꾸로 치솟는 기운을 아래로 순하게 내리며 식도와 위장 근육의 뒤틀린 경련을 완화해 줍니다.,"가을철 잘 익은 모과를 4등분해 안쪽 씨를 완전히 제거한 뒤, 얇게 썰어 은근한 김에 한번 찐 뒤 햇볕에 완전히 건조하여 사용합니다.",말린 모과 10g을 끓여 식힌 후 수시로 한 모금씩 천천히 넘기며 음용합니다.
두통,태음인,간열(肝熱)이 가득 차 오르고 체내 탁한 습이 머리로 향해 생깁니다. 머리가 마치 무거운 돌을 얹은 듯 무겁고 둔탁한 아픔이 특징이며 눈 피로를 동반합니다.,태충 (太衝),LR3,첫째와 둘째 발가락뼈가 만나는 곳에서 약간 위쪽의 오목하고 맥박이 느껴지는 부위,간열을 내려 머리와 눈에 쏠린 풍열(風熱) 기운을 시원하게 소통시킵니다. 뻐근함이 발끝까지 가도록 지긋이 지압합니다.,LR3.png,풍지 (風池),GB20,"목덜미 뒤쪽, 귀 뒤의 튀어나온 뼈 아래 오목하게 들어간 곳",머리로 통하는 모든 혈관과 신경이 모이는 목 뒷덜미 부위입니다. 양손으로 머리를 감싸쥐고 엄지손가락으로 머리 방향으로 밀어 올리듯 강하게 압박합니다.,GB20.png,"갈근 (葛根, 칡뿌리)",목덜미 뒷근육이 굳고 뭉쳐 유발되는 혈류 정체형 두통을 시원하게 풀고 간열을 맑게 내려줍니다.,가을에 캔 칡뿌리의 흙을 씻고 껍질을 벗겨 적당하게 편 썬 후 햇볕에 완전히 건조하여 약용합니다.,갈근 15g에 물 1L를 부어 달인 후 미지근하게 마셔 뭉친 근육을 풀어줍니다.
두통,소음인,몸이 극도로 차가워지고 양기가 부족하여 머리 부위까지 혈류와 따뜻한 온기가 닿지 못해 발생합니다. 머리가 띵하고 차가우며 어지럼증을 동반합니다.,백회 (百會),GV20,양쪽 귀 끝을 연결한 선과 머리 정중앙을 가로지르는 선이 만나는 정수리 부위,머리끝의 모든 양기를 끌어올리고 전신의 차가운 기운을 소통시킵니다. 손가락 끝으로 머리 수직 방향으로 지긋이 자극합니다.,GV20.png,합곡 (合谷),LI4,엄지와 검지 손가락 뼈가 만나는 부위의 바로 앞 오목한 곳,사지 말단으로 기혈을 막힘없이 내보내어 머리 뒤쪽과 이마 부위의 정체된 냉성 통증을 가라앉힙니다. 약간 자극이 가도록 강하게 누릅니다.,LI4.png,천궁 (川芎),"혈액 순환을 활발하게 돕는 활혈(活血) 효능의 대표 요약으로, 소음인의 차가운 냉두통을 없애는 데 특효입니다.",천궁의 특유 자극적인 정유 성분을 제거하기 위해 '쌀뜨물에 하루 동안 담가두어(미감침)' 기름기를 뺀 뒤 건조하여 약용합니다. 머리가 아프지 않고 순해집니다.,미감침 처리한 천궁 5g과 물 600ml를 넣고 달여 따뜻하게 차로 복용합니다.
두통,소양인,체질적으로 신장 음액이 부족하고 위열(胃熱)이나 쓸개 열이 가득 차올라 머리 관자놀이 부위가 지끈지끈 쪼개지듯 아픈 측두통이 잘 발생합니다.,태양 (太陽),EX-HN5,눈썹 바깥쪽 끝과 눈꼬리 바깥쪽 끝의 중간에서 뒤쪽으로 1치(손가락 한 마디 너비) 오목한 부위 (흔히 관자놀이라 부르는 곳),치솟는 머리 부위의 열독과 두통을 직접 가라앉힙니다. 양 손가락 끝으로 가벼운 원을 그리며 뻐근하게 2분 동안 지압합니다.,EXHN5.png,지구 (支溝),TE6,손등 손목 주름에서 위로 3치 올라간 두 뼈 사이의 오목한 곳,소양인의 몸 안 삼초(전신 순환계)의 열을 내리고 막힌 기를 아래로 뿜어내려 두통을 신속하게 완화합니다. 뻐근하게 누릅니다.,TE6.png,구기자 (枸杞子),머리로 솟구치는 상열감을 잡기 위해 신장의 마른 음액을 깊숙하게 채워주어 열을 끄고 눈을 맑게 합니다.,열매를 수확해 깨끗이 씻은 후 막걸리를 가볍게 뿌려 시루에 찐 다음(주증) 다시 건조하면 소양인 신장 기운을 보강하는 성질이 대폭 강화됩니다.,주증한 구기자 10g에 물 1L를 붓고 끓여 차갑게 보관하여 물처럼 수시로 마십니다.
두통,태양인,폐의 극도로 웅장한 상승 기운이 한 방향으로만 발달해 정수리와 머리 꼭대기 부위에 기운과 압력이 과도하게 몰리면서 터질 듯한 두통이 발생합니다.,소상 (少商),LU11,엄지손가락 손톱 안쪽 모서리 가쪽으로 1mm 지점,폐에 쏠린 과도한 기 기운의 압력을 급격하게 방출해 줍니다. 손가락 끝으로 아주 아플 정도로 강하게 꼭꼭 지압합니다.,LU11.png,백회 (百會),GV20,정수리 가마 맨 윗부분의 오목한 중심 부위,막히고 갇혀 뭉친 비생리적 열을 체외로 순환/발산시켜 줍니다. 손끝으로 지긋이 수직 압박을 반복해 줍니다.,GV20.png,오가피 (五加皮),체내 기의 승강출입 조화를 맞추고 뇌압 상승 두통을 부드럽게 가라앉히는 데 탁월합니다.,"오가피 가지/뿌리껍질을 채취해 깨끗이 씻고 잘게 썬 후, 소금물에 가볍게 담갔다가 꺼내어 볶는 '염수초'를 통해 하초 보강 약성을 강화합니다.",염수초한 오가피 10g에 물 800ml를 넣고 은근하게 우려내어 복용합니다.
변비,태음인,"대장 건조(장조, 腸燥)가 심해져 대장 내 수분이 빠르게 고갈되어 생깁니다. 땀을 시원하게 흘리지 못해 몸안에 독소와 열이 정체될 때 변비가 극대화됩니다.",천추 (天樞),ST25,배꼽 중심에서 가쪽(좌우 양옆)으로 각각 본인 손가락 두 마디 너비(2치) 만큼 떨어진 오목한 부위,대장의 직접적인 연동 운동과 수분 흡수 기능을 조율해 줍니다. 편안하게 누운 상태에서 양손 무릎을 세우고 손끝으로 지긋이 누르며 원을 그리듯 문질러 줍니다.,ST25.png,태충 (太衝),LR3,첫째와 둘째 발가락뼈가 만나는 곳에서 약간 위쪽의 오목한 부위,간열이 대장을 압박해 장의 진액을 건조시키는 것을 막아 장을 윤활하게 합니다. 다소 뻐근하게 지압합니다.,LR3.png,맥문동 (麥門冬),폐와 대장의 메마른 진액(수분)을 풍부하게 생성해 주어 단단해진 대변을 부드럽게 씻어내려 보냅니다.,"맥문동 열매의 약성이 없는 '가운데 심지(거심, 去心)'를 완전히 뽑아낸 후 햇볕에 완전히 건조해야 가슴 답답함이나 부작용을 막을 수 있습니다.",거심한 맥문동 10g에 물 1L를 붓고 오랜 시간 끓여 물처럼 음용합니다.
변비,소음인,하초(아랫배)의 따뜻한 양기가 극도로 떨어져 장이 꽁꽁 얼어붙듯 연동 운동을 멈춰 발생합니다. 대변이 딱딱하지 않은데도 몇 일 동안 밀어내지 못하는 냉성 변비가 흔합니다.,기해 (氣海),CV6,배꼽 아래로 약 1.5치(본인 검지와 중지 너비) 내려간 앞정중선 부위,단전의 멈춘 양기와 원기를 채워 차가운 장을 사르르 녹여 연동 운동을 시작하게 돕습니다. 따뜻한 뜸이나 손바닥 지압이 훌륭합니다.,CV6.png,삼음교 (三陰交),SP6,안쪽 복사뼈 중심에서 위로 3치 올라간 정강이뼈 뒤쪽 가장자리,하복부 장관막의 혈액과 림프 소통을 직접 활성화합니다. 손끝으로 깊숙하게 3초간 누르기를 15회 반복합니다.,SP6.png,백출 (白朮),소음인 장내 비정상적인 수분 축적(냉습)을 정돈해 주어 약해진 장 평활근의 수축력을 든든하게 복원합니다.,삽주 뿌리를 쌀뜨물에 하루 동안 담가(미감침) 정유 기름기를 빼주고 오븐이나 마른 가마솥에 은근하게 구워 완전히 말린 후 사용합니다.,손질된 백출 8g과 생강 1편에 물 600ml를 붓고 끓여 따뜻한 상태로 나누어 복용합니다.
